column,missing,total,pct
score_rank,89579,89618,99.95648195674977
metacritic_url,86071,89618,96.04208975875382
reviews,79217,89618,88.39407261933987
notes,72975,89618,81.42895400477582
website,48504,89618,54.12305563614452
support_url,45508,89618,50.77997723671584
support_email,10820,89618,12.073467383784507
about_the_game,220,89618,0.24548639782186613
detailed_description,197,89618,0.21982191077685284
short_description,120,89618,0.1339016715391997
estimated_owners,0,89618,0.0
appid,0,89618,0.0
negative,0,89618,0.0
positive,0,89618,0.0
user_score,0,89618,0.0
movies,0,89618,0.0
average_playtime_forever,0,89618,0.0
discount,0,89618,0.0
average_playtime_2weeks,0,89618,0.0
median_playtime_forever,0,89618,0.0
median_playtime_2weeks,0,89618,0.0
genres,0,89618,0.0
peak_ccu,0,89618,0.0
tags,0,89618,0.0
pct_pos_total,0,89618,0.0
num_reviews_total,0,89618,0.0
pct_pos_recent,0,89618,0.0
screenshots,0,89618,0.0
full_audio_languages,0,89618,0.0
categories,0,89618,0.0
publishers,0,89618,0.0
release_date,0,89618,0.0
required_age,0,89618,0.0
price,0,89618,0.0
dlc_count,0,89618,0.0
header_image,0,89618,0.0
windows,0,89618,0.0
mac,0,89618,0.0
linux,0,89618,0.0
metacritic_score,0,89618,0.0
achievements,0,89618,0.0
recommendations,0,89618,0.0
supported_languages,0,89618,0.0
name,0,89618,0.0
packages,0,89618,0.0
developers,0,89618,0.0
num_reviews_recent,0,89618,0.0
