,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
appid,89618.0,1656903.9583565802,916838.9820155196,20.0,222671.9,355058.5,855052.5,1524730.0,2430852.5,3194168.9999999995,3421824.9,3542350.0
required_age,89618.0,0.18362382557075588,1.7255940548464912,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0
price,89618.0,7.3096226204557135,13.331073254511596,0.0,0.0,0.0,0.99,4.99,9.99,19.99,39.99,999.98
dlc_count,89618.0,0.5955834765337321,15.351919794528648,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3427.0
metacritic_score,89618.0,2.9032448838403,14.445357584373046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,97.0
achievements,89618.0,20.55233323662657,163.56241770021177,0.0,0.0,0.0,0.0,5.0,20.0,57.0,100.0,9821.0
recommendations,89618.0,1009.4010801401504,22048.147657964633,0.0,0.0,0.0,0.0,0.0,0.0,1273.0,13735.13000000002,4401572.0
user_score,89618.0,0.0328170679997322,1.6151491838229417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
score_rank,39.0,99.12820512820512,0.6950761858843502,98.0,98.0,98.0,99.0,99.0,100.0,100.0,100.0,100.0
positive,89618.0,1269.8959807181593,31814.41140407119,0.0,0.0,0.0,1.0,10.0,58.0,1503.1499999999942,16595.770000000033,7480813.0
negative,89618.0,209.80255082684283,6114.313689246095,0.0,0.0,0.0,0.0,2.0,17.0,299.0,2701.640000000014,1135108.0
average_playtime_forever,89618.0,114.91188154165458,6814.747947977573,0.0,0.0,0.0,0.0,0.0,0.0,177.0,1308.6600000000035,1462997.0
average_playtime_2weeks,89618.0,5.032694324800821,181.10033369891497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18568.0
median_playtime_forever,89618.0,114.75585261889353,8806.711195543081,0.0,0.0,0.0,0.0,0.0,0.0,174.0,998.0,1462997.0
median_playtime_2weeks,89618.0,5.3018143676493565,189.5910948008672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18568.0
discount,89618.0,4.5586266151889125,16.538036131743603,0.0,0.0,0.0,0.0,0.0,0.0,50.0,85.0,100.0
peak_ccu,89618.0,98.33994286862014,5717.544397767504,0.0,0.0,0.0,0.0,0.0,0.0,18.0,445.83000000000175,1212356.0
pct_pos_total,89618.0,45.352418041018545,40.68569505030975,-1.0,-1.0,-1.0,-1.0,60.0,84.0,97.0,100.0,100.0
num_reviews_total,89618.0,1315.4901359101966,35423.6967755889,-1.0,-1.0,-1.0,-1.0,15.0,81.0,1756.1499999999942,18086.650000000096,8632939.0
pct_pos_recent,89618.0,5.231638733290187,22.33535835214023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,96.0,100.0
num_reviews_recent,89618.0,15.584581222522262,444.27730689553056,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,217.83000000000175,96473.0
