column,dtype
appid,int64
name,object
release_date,object
required_age,int64
price,float64
dlc_count,int64
detailed_description,object
about_the_game,object
short_description,object
reviews,object
header_image,object
website,object
support_url,object
support_email,object
windows,bool
mac,bool
linux,bool
metacritic_score,int64
metacritic_url,object
achievements,int64
recommendations,int64
notes,object
supported_languages,object
full_audio_languages,object
packages,object
developers,object
publishers,object
categories,object
genres,object
screenshots,object
movies,object
user_score,int64
score_rank,float64
positive,int64
negative,int64
estimated_owners,object
average_playtime_forever,int64
average_playtime_2weeks,int64
median_playtime_forever,int64
median_playtime_2weeks,int64
discount,int64
peak_ccu,int64
tags,object
pct_pos_total,int64
num_reviews_total,int64
pct_pos_recent,int64
num_reviews_recent,int64
